Australia;7,1;55206
Austria;7,2;53132
Belgium;6,8;54327
Canada;7;55342
Chile;6,2;26729
Colombia;5,7;22000
Costa Rica;6,3;24000
Czech Republic;6,9;29885
Denmark;7,5;58430
Estonia;6,5;30720
Finland;7,9;46230
France;6,7;45581
Germany;7,3;53745
Greece;5,8;27207
Hungary;6;25409
Iceland;7,6;67488
Ireland;7;49474
Israel;7,2;39322
Italy;6,5;37769
Japan;6,1;38515
Korea;5,8;41960
Latvia;6,2;29876
Lithuania;6,4;31811
Luxembourg;7,4;65854
Mexico;6;16230
Netherlands;7,5;58828
New Zealand;7,3;45269
Norway;7,3;55780
Poland;6,1;32527
Portugal;5,8;28410
Slovak Republic;6,5;23619
Slovenia;6,5;41445
Spain;6,5;37922
Sweden;7,3;47020
Switzerland;7,5;64824
Türkiye;4,9;32525
United Kingdom;6,8;47147
United States;7;69392
Brazil;6,1;15840
Russia;5,5;25220
South Africa;4,9;13240
